,zipcode,Population,White,Black,Asian,Hispanic
0,01832,22121.0,18417.0,596.0,260.0,4571.0
1,01833,8295.0,8032.0,21.0,33.0,89.0
2,01834,6675.0,6496.0,8.0,171.0,100.0
3,01835,13527.0,11878.0,612.0,346.0,1107.0
4,01840,4547.0,1709.0,274.0,40.0,3790.0
5,01841,47676.0,16060.0,3088.0,780.0,38838.0
6,01843,24597.0,10534.0,2030.0,1677.0,14752.0
7,01844,47690.0,37975.0,1574.0,1946.0,8323.0
8,01845,28677.0,25136.0,427.0,1824.0,1479.0
9,01850,15496.0,10890.0,1046.0,884.0,3143.0
10,01851,29791.0,12989.0,2623.0,11112.0,3444.0
11,01852,33106.0,21229.0,2241.0,4116.0,6151.0
12,01854,29073.0,17308.0,1414.0,5214.0,6187.0
13,01860,6440.0,6405.0,19.0,0.0,67.0
14,01862,10992.0,9655.0,318.0,482.0,822.0
15,01863,9526.0,8096.0,61.0,756.0,693.0
16,01864,15076.0,14115.0,103.0,587.0,280.0
17,01867,24524.0,22884.0,246.0,969.0,688.0
18,01876,28778.0,26804.0,532.0,897.0,530.0
19,01879,11675.0,10837.0,66.0,578.0,302.0
20,01880,25116.0,23740.0,110.0,958.0,450.0
21,01886,22458.0,18601.0,160.0,3001.0,498.0
22,01887,22656.0,20887.0,248.0,974.0,361.0
23,01890,21621.0,18356.0,200.0,2514.0,404.0
24,01901,2023.0,906.0,411.0,49.0,665.0
25,01902,44827.0,23572.0,6326.0,3922.0,17477.0
26,01904,18803.0,15269.0,1412.0,515.0,2270.0
27,01905,25090.0,13029.0,3629.0,1789.0,9313.0
28,01906,27051.0,25391.0,390.0,567.0,1604.0
29,01907,14086.0,13417.0,120.0,250.0,515.0
30,01908,3432.0,3258.0,69.0,20.0,154.0
31,01913,16429.0,15875.0,35.0,168.0,223.0
32,01915,40026.0,37618.0,718.0,802.0,1241.0
33,01921,8040.0,7643.0,0.0,280.0,115.0
34,01922,3025.0,2975.0,20.0,30.0,0.0
35,01923,26810.0,25383.0,317.0,675.0,673.0
36,01929,3546.0,3412.0,9.0,49.0,44.0
37,01930,29043.0,27966.0,208.0,159.0,795.0
38,01937,89.0,81.0,0.0,0.0,16.0
39,01938,13354.0,13051.0,56.0,87.0,179.0
40,01940,12299.0,11580.0,68.0,471.0,350.0
41,01944,5185.0,5047.0,0.0,0.0,126.0
42,01945,19958.0,19387.0,182.0,119.0,431.0
43,01949,9131.0,7691.0,348.0,484.0,844.0
44,01950,17569.0,16975.0,128.0,157.0,704.0
45,01951,3707.0,3616.0,41.0,0.0,41.0
46,01952,8396.0,8098.0,47.0,141.0,70.0
47,01960,51319.0,45647.0,1205.0,1400.0,4003.0
48,01966,7040.0,6789.0,118.0,40.0,99.0
49,01969,5914.0,5804.0,84.0,26.0,75.0
50,01970,41747.0,34691.0,2530.0,857.0,6684.0
51,01982,7995.0,7315.0,267.0,242.0,170.0
52,01983,6211.0,5832.0,0.0,265.0,5.0
53,01984,4964.0,4700.0,95.0,91.0,37.0
54,01985,4305.0,4303.0,2.0,0.0,169.0
55,02019,16438.0,15178.0,318.0,602.0,354.0
56,02021,21781.0,19067.0,1219.0,892.0,642.0
57,02025,7935.0,7805.0,16.0,0.0,42.0
58,02026,24906.0,21683.0,1395.0,802.0,1629.0
59,02030,5677.0,5049.0,75.0,419.0,127.0
60,02032,3884.0,3486.0,0.0,380.0,98.0
61,02035,16990.0,15878.0,320.0,653.0,339.0
62,02038,32064.0,29986.0,296.0,1352.0,702.0
63,02043,22330.0,21508.0,95.0,379.0,215.0
64,02045,10319.0,9717.0,87.0,109.0,314.0
65,02047,111.0,111.0,0.0,0.0,0.0
66,02048,23293.0,21148.0,514.0,975.0,711.0
67,02050,25647.0,24807.0,56.0,245.0,414.0
68,02052,12136.0,11088.0,27.0,352.0,675.0
69,02053,12866.0,11928.0,57.0,556.0,468.0
70,02054,7950.0,7579.0,5.0,255.0,271.0
71,02056,11274.0,9982.0,703.0,100.0,535.0
72,02061,10560.0,10284.0,11.0,118.0,88.0
73,02062,28698.0,24018.0,1175.0,1677.0,1607.0
74,02066,17730.0,17067.0,64.0,108.0,185.0
75,02067,17591.0,13556.0,928.0,2640.0,462.0
76,02071,1770.0,1473.0,139.0,7.0,244.0
77,02072,27522.0,22598.0,3470.0,595.0,516.0
78,02081,19006.0,17913.0,313.0,467.0,227.0
79,02090,14714.0,13510.0,57.0,913.0,273.0
80,02093,11058.0,10894.0,36.0,40.0,77.0
81,02108,4062.0,3526.0,220.0,193.0,77.0
82,02109,4241.0,3810.0,99.0,171.0,238.0
83,02110,1752.0,1547.0,49.0,77.0,97.0
84,02111,7771.0,3538.0,259.0,3426.0,513.0
85,02113,6843.0,6343.0,53.0,313.0,158.0
86,02114,11994.0,9469.0,600.0,1555.0,407.0
87,02115,28928.0,20054.0,2511.0,4315.0,2696.0
88,02116,21793.0,16714.0,1470.0,2992.0,1254.0
89,02118,27873.0,14204.0,5029.0,4519.0,5339.0
90,02119,24767.0,3855.0,15158.0,518.0,6837.0
91,02120,14221.0,6915.0,3383.0,1749.0,3050.0
92,02121,27093.0,2427.0,18721.0,331.0,7171.0
93,02122,24546.0,8602.0,8007.0,3895.0,3164.0
94,02124,51382.0,10712.0,32090.0,3872.0,7309.0
95,02125,34172.0,12080.0,8762.0,4738.0,6553.0
96,02126,27984.0,2506.0,23750.0,79.0,3855.0
97,02127,33825.0,27712.0,2057.0,1650.0,3020.0
98,02128,43575.0,27625.0,2016.0,1612.0,24933.0
99,02129,17454.0,13125.0,1919.0,1467.0,1341.0
100,02130,37541.0,24616.0,5400.0,2103.0,7984.0
101,02131,30960.0,17405.0,7636.0,1088.0,7911.0
102,02132,27628.0,23283.0,1157.0,1795.0,2457.0
103,02134,19009.0,13148.0,1507.0,2556.0,2958.0
104,02135,36932.0,28684.0,1491.0,5410.0,3518.0
105,02136,29271.0,10779.0,13363.0,633.0,7601.0
106,02138,35554.0,26470.0,2163.0,4521.0,2507.0
107,02139,36015.0,23369.0,4808.0,5067.0,2928.0
108,02140,18164.0,11796.0,3552.0,1725.0,1321.0
109,02141,13126.0,7951.0,1707.0,2511.0,1168.0
110,02142,2838.0,1668.0,85.0,943.0,293.0
111,02143,26056.0,20258.0,703.0,3217.0,2035.0
112,02144,23854.0,19698.0,1478.0,1694.0,1337.0
113,02145,24659.0,17429.0,3124.0,2087.0,4129.0
114,02148,59819.0,33210.0,8535.0,14021.0,5932.0
115,02149,42076.0,28907.0,6195.0,1482.0,9313.0
116,02150,36222.0,17625.0,2290.0,1172.0,22675.0
117,02151,52534.0,39062.0,2340.0,3431.0,13280.0
118,02152,17763.0,16567.0,326.0,163.0,1140.0
119,02155,58832.0,47631.0,4472.0,4414.0,2922.0
120,02163,2100.0,1315.0,239.0,439.0,195.0
121,02169,55064.0,39410.0,3881.0,9905.0,2203.0
122,02170,19796.0,12971.0,387.0,5799.0,228.0
123,02171,17735.0,11185.0,642.0,5377.0,459.0
124,02176,27239.0,25137.0,841.0,920.0,844.0
125,02180,21498.0,19939.0,192.0,696.0,677.0
126,02184,36051.0,30988.0,1366.0,2831.0,844.0
127,02186,27094.0,21146.0,3676.0,1598.0,1212.0
128,02188,14655.0,12354.0,958.0,1167.0,373.0
129,02189,14609.0,12349.0,883.0,649.0,702.0
130,02190,16733.0,15191.0,348.0,722.0,265.0
131,02191,8369.0,7910.0,21.0,399.0,36.0
132,02199,1273.0,1143.0,11.0,119.0,32.0
133,02203,0.0,0.0,0.0,0.0,0.0
134,02210,1894.0,1798.0,12.0,29.0,35.0
135,02215,24213.0,17805.0,872.0,4319.0,2003.0
136,02301,58982.0,25716.0,25051.0,1514.0,5396.0
137,02302,34929.0,19654.0,10886.0,478.0,3612.0
138,02322,4400.0,3702.0,468.0,80.0,151.0
139,02324,26573.0,23743.0,1607.0,197.0,1044.0
140,02330,11493.0,10976.0,183.0,47.0,165.0
141,02332,15126.0,14725.0,129.0,130.0,179.0
142,02333,13894.0,13324.0,39.0,298.0,213.0
143,02338,7546.0,7354.0,0.0,0.0,148.0
144,02339,14027.0,13524.0,69.0,194.0,145.0
145,02341,10250.0,9789.0,182.0,60.0,150.0
146,02343,10667.0,9244.0,947.0,212.0,904.0
147,02346,23247.0,22019.0,471.0,284.0,400.0
148,02347,10798.0,10519.0,131.0,10.0,274.0
149,02351,16009.0,14860.0,578.0,340.0,368.0
150,02356,12625.0,11870.0,343.0,179.0,398.0
151,02357,959.0,794.0,71.0,34.0,18.0
152,02359,17916.0,17176.0,156.0,63.0,390.0
153,02360,56816.0,53592.0,1124.0,372.0,1218.0
154,02364,12673.0,11999.0,22.0,304.0,295.0
155,02366,149.0,77.0,37.0,0.0,35.0
156,02367,2834.0,2750.0,0.0,12.0,81.0
157,02368,32952.0,12286.0,14466.0,4760.0,1770.0
158,02370,17546.0,16437.0,559.0,244.0,234.0
159,02375,9833.0,8649.0,515.0,253.0,520.0
160,02379,6928.0,6260.0,332.0,79.0,152.0
161,02382,14567.0,13819.0,147.0,182.0,247.0
162,02420,14073.0,10292.0,116.0,3279.0,212.0
163,02421,17813.0,13061.0,207.0,3722.0,476.0
164,02445,20844.0,16976.0,548.0,2553.0,1098.0
165,02446,28924.0,21944.0,603.0,5022.0,1606.0
166,02451,17299.0,13955.0,615.0,1487.0,1696.0
167,02452,15025.0,11217.0,999.0,1903.0,1149.0
168,02453,28997.0,21788.0,1754.0,2971.0,5252.0
169,02457,1343.0,952.0,120.0,170.0,105.0
170,02458,11602.0,9192.0,434.0,1603.0,675.0
171,02459,18339.0,15049.0,312.0,2357.0,524.0
172,02460,9046.0,7559.0,281.0,929.0,447.0
173,02461,6808.0,4905.0,259.0,1279.0,305.0
174,02462,1412.0,1097.0,15.0,258.0,8.0
175,02464,2947.0,2175.0,73.0,506.0,116.0
176,02465,11673.0,9881.0,480.0,1042.0,593.0
177,02466,9105.0,7034.0,262.0,1656.0,536.0
178,02467,23092.0,18147.0,771.0,3516.0,1230.0
179,02468,5267.0,4376.0,81.0,711.0,120.0
180,02472,32622.0,27579.0,1056.0,2295.0,2259.0
181,02474,26646.0,22405.0,668.0,2551.0,976.0
182,02476,16662.0,14647.0,233.0,1298.0,452.0
183,02478,24864.0,20588.0,449.0,3073.0,920.0
184,02481,16215.0,13908.0,284.0,1425.0,598.0
185,02482,10946.0,9292.0,138.0,1271.0,552.0
186,02492,20131.0,18015.0,290.0,1280.0,607.0
187,02493,11538.0,9718.0,260.0,1237.0,434.0
188,02494,9109.0,7781.0,120.0,987.0,268.0
189,02532,11455.0,10964.0,261.0,38.0,197.0
190,02534,1247.0,1120.0,11.0,11.0,93.0
191,02535,1283.0,1035.0,6.0,2.0,19.0
192,02536,19470.0,17234.0,752.0,392.0,454.0
193,02537,6288.0,6026.0,33.0,86.0,182.0
194,02538,3245.0,3200.0,42.0,0.0,60.0
195,02539,4135.0,3995.0,62.0,14.0,12.0
196,02540,8554.0,7789.0,140.0,407.0,106.0
197,02542,1155.0,754.0,56.0,2.0,148.0
198,02543,736.0,725.0,2.0,7.0,14.0
199,02553,210.0,210.0,0.0,0.0,0.0
200,02554,9843.0,8667.0,581.0,110.0,1012.0
201,02556,2852.0,2769.0,26.0,30.0,129.0
202,02557,4563.0,3930.0,354.0,169.0,0.0
203,02558,1489.0,1180.0,57.0,0.0,0.0
204,02559,4056.0,3770.0,107.0,70.0,57.0
205,02561,468.0,468.0,0.0,0.0,0.0
206,02562,3371.0,3339.0,0.0,24.0,74.0
207,02563,9616.0,9216.0,31.0,122.0,213.0
208,02564,381.0,364.0,0.0,2.0,8.0
209,02568,3995.0,3784.0,59.0,16.0,0.0
210,02571,10497.0,9213.0,326.0,75.0,57.0
211,02575,2628.0,2562.0,29.0,10.0,49.0
212,02576,4888.0,4494.0,51.0,149.0,203.0
213,02584,0.0,0.0,0.0,0.0,0.0
214,02601,13552.0,10762.0,1182.0,206.0,889.0
215,02630,2113.0,2097.0,9.0,0.0,0.0
216,02631,9610.0,9385.0,117.0,23.0,146.0
217,02632,11543.0,11164.0,50.0,120.0,165.0
218,02633,3868.0,3485.0,293.0,24.0,6.0
219,02635,3355.0,3310.0,15.0,19.0,45.0
220,02637,84.0,64.0,0.0,20.0,0.0
221,02638,3355.0,3317.0,0.0,8.0,110.0
222,02639,3138.0,3005.0,0.0,16.0,26.0
223,02641,355.0,355.0,0.0,0.0,0.0
224,02642,4919.0,4764.0,12.0,117.0,89.0
225,02643,17.0,17.0,0.0,0.0,0.0
226,02644,4469.0,4436.0,4.0,17.0,24.0
227,02645,9487.0,8902.0,104.0,97.0,329.0
228,02646,1946.0,1766.0,4.0,144.0,7.0
229,02647,129.0,129.0,0.0,0.0,0.0
230,02648,6898.0,6538.0,125.0,16.0,136.0
231,02649,14000.0,12902.0,322.0,45.0,275.0
232,02650,1222.0,1181.0,41.0,0.0,0.0
233,02651,26.0,26.0,0.0,0.0,0.0
234,02652,1133.0,1133.0,0.0,0.0,25.0
235,02653,5982.0,5903.0,0.0,24.0,84.0
236,02655,3943.0,3789.0,59.0,0.0,72.0
237,02657,2964.0,2611.0,145.0,25.0,122.0
238,02659,837.0,819.0,4.0,0.0,16.0
239,02660,6018.0,5337.0,436.0,13.0,152.0
240,02663,121.0,121.0,0.0,0.0,0.0
241,02664,9487.0,8942.0,220.0,153.0,214.0
242,02666,598.0,575.0,0.0,0.0,0.0
243,02667,2891.0,2718.0,40.0,0.0,3.0
244,02668,2755.0,2648.0,0.0,15.0,28.0
245,02669,211.0,211.0,0.0,0.0,0.0
246,02670,1302.0,1260.0,13.0,0.0,7.0
247,02671,844.0,818.0,0.0,0.0,26.0
248,02672,150.0,150.0,0.0,0.0,0.0
249,02673,8407.0,7842.0,313.0,88.0,249.0
250,02675,6254.0,5983.0,49.0,76.0,133.0
251,02702,4567.0,4453.0,16.0,0.0,16.0
252,02703,43677.0,38247.0,1937.0,1982.0,2632.0
253,02713,114.0,114.0,0.0,0.0,0.0
254,02715,3195.0,3040.0,0.0,5.0,76.0
255,02717,4356.0,4168.0,16.0,4.0,66.0
256,02718,6774.0,6253.0,366.0,56.0,331.0
257,02719,15952.0,15122.0,25.0,469.0,168.0
258,02720,30811.0,27436.0,1102.0,563.0,1595.0
259,02721,26141.0,22908.0,698.0,566.0,2833.0
260,02723,14298.0,11951.0,775.0,261.0,886.0
261,02724,16769.0,14503.0,621.0,621.0,1577.0
262,02725,2717.0,2605.0,0.0,29.0,80.0
263,02726,15524.0,14995.0,155.0,118.0,66.0
264,02738,4915.0,4500.0,32.0,131.0,81.0
265,02739,6086.0,5995.0,27.0,43.0,0.0
266,02740,43308.0,30421.0,3895.0,507.0,6902.0
267,02743,10321.0,9929.0,2.0,34.0,261.0
268,02744,11722.0,9115.0,730.0,234.0,2662.0
269,02745,24830.0,22342.0,856.0,101.0,2412.0
270,02746,14835.0,9876.0,1521.0,164.0,4618.0
271,02747,22092.0,20309.0,740.0,324.0,786.0
272,02748,12591.0,11622.0,84.0,361.0,30.0
273,02760,27081.0,25119.0,615.0,949.0,424.0
274,02762,8429.0,7892.0,13.0,294.0,143.0
275,02763,1638.0,1614.0,1.0,0.0,44.0
276,02764,3926.0,3868.0,4.0,0.0,217.0
277,02766,19209.0,17814.0,449.0,512.0,211.0
278,02767,13450.0,11877.0,493.0,490.0,270.0
279,02769,11664.0,11505.0,20.0,64.0,88.0
280,02770,5275.0,4947.0,27.0,101.0,70.0
281,02771,13932.0,13373.0,157.0,262.0,221.0
282,02777,15943.0,15448.0,48.0,82.0,143.0
283,02779,6452.0,6285.0,40.0,0.0,310.0
284,02780,49151.0,43748.0,2528.0,498.0,2923.0
285,02790,16154.0,15809.0,66.0,45.0,41.0
286,02791,80.0,80.0,0.0,0.0,0.0
287,02802,919.0,919.0,0.0,0.0,0.0
288,02804,2587.0,2539.0,0.0,48.0,90.0
289,02806,16298.0,15156.0,112.0,431.0,355.0
290,02807,836.0,822.0,6.0,0.0,28.0
291,02808,2202.0,1892.0,139.0,0.0,113.0
292,02809,22531.0,21703.0,103.0,285.0,425.0
293,02812,1969.0,1888.0,0.0,58.0,36.0
294,02813,7821.0,7475.0,0.0,0.0,192.0
295,02814,7477.0,7334.0,10.0,9.0,92.0
296,02815,200.0,145.0,0.0,0.0,13.0
297,02816,32800.0,32102.0,34.0,180.0,646.0
298,02817,6102.0,5600.0,98.0,228.0,43.0
299,02818,18241.0,17296.0,299.0,301.0,359.0
300,02822,6460.0,6023.0,80.0,234.0,245.0
301,02825,5305.0,5086.0,62.0,0.0,42.0
302,02826,637.0,637.0,0.0,0.0,0.0
303,02827,2067.0,2018.0,0.0,49.0,0.0
304,02828,7403.0,7096.0,148.0,79.0,112.0
305,02830,6356.0,6226.0,38.0,28.0,174.0
306,02831,3129.0,3099.0,2.0,0.0,42.0
307,02832,5263.0,4990.0,127.0,28.0,147.0
308,02833,513.0,494.0,0.0,0.0,19.0
309,02835,5423.0,5163.0,23.0,0.0,140.0
310,02836,103.0,103.0,0.0,0.0,0.0
311,02837,3490.0,3400.0,31.0,11.0,6.0
312,02838,3615.0,3134.0,367.0,34.0,548.0
313,02839,1617.0,1617.0,0.0,0.0,0.0
314,02840,23306.0,19984.0,1425.0,222.0,2177.0
315,02841,1066.0,886.0,61.0,47.0,83.0
316,02842,16116.0,13200.0,1122.0,721.0,973.0
317,02852,22567.0,21049.0,368.0,708.0,620.0
318,02857,8919.0,8780.0,2.0,8.0,33.0
319,02858,605.0,605.0,0.0,0.0,0.0
320,02859,6932.0,6522.0,36.0,142.0,169.0
321,02860,43862.0,24303.0,10431.0,851.0,10158.0
322,02861,27431.0,21950.0,2130.0,223.0,3444.0
323,02863,19387.0,11493.0,3625.0,5.0,12730.0
324,02864,33429.0,31300.0,414.0,800.0,1224.0
325,02865,16881.0,15304.0,519.0,312.0,391.0
326,02871,17155.0,16242.0,224.0,277.0,338.0
327,02872,184.0,184.0,0.0,0.0,0.0
328,02873,181.0,181.0,0.0,0.0,0.0
329,02874,6077.0,5875.0,34.0,56.0,96.0
330,02875,428.0,396.0,0.0,0.0,0.0
331,02876,237.0,237.0,0.0,0.0,0.0
332,02878,15805.0,15469.0,85.0,48.0,90.0
333,02879,20675.0,19127.0,384.0,296.0,403.0
334,02881,7681.0,6480.0,420.0,358.0,514.0
335,02882,13966.0,13518.0,68.0,60.0,216.0
336,02885,10597.0,10402.0,12.0,37.0,270.0
337,02886,28758.0,26315.0,169.0,1217.0,801.0
338,02888,19551.0,17478.0,358.0,719.0,1521.0
339,02889,28571.0,26835.0,549.0,446.0,859.0
340,02891,21248.0,20133.0,170.0,424.0,334.0
341,02892,4256.0,3858.0,24.0,87.0,202.0
342,02893,29416.0,26346.0,924.0,876.0,1580.0
343,02894,563.0,563.0,0.0,0.0,0.0
344,02895,41113.0,33503.0,2718.0,2364.0,5750.0
345,02896,11782.0,11330.0,33.0,177.0,114.0
346,02898,1231.0,1190.0,6.0,0.0,15.0
347,02903,10613.0,7052.0,1081.0,1066.0,1839.0
348,02904,28793.0,20309.0,4194.0,590.0,4951.0
349,02905,25285.0,12428.0,4318.0,1121.0,10967.0
350,02906,28920.0,22943.0,1931.0,2361.0,1980.0
351,02907,27448.0,8611.0,5903.0,2390.0,16506.0
352,02908,36842.0,20137.0,7737.0,1703.0,11384.0
353,02909,43752.0,16629.0,5251.0,3322.0,25675.0
354,02910,20135.0,16342.0,917.0,1523.0,2110.0
355,02911,15811.0,13651.0,1385.0,130.0,901.0
356,02912,1850.0,1321.0,281.0,136.0,135.0
357,02914,21978.0,17227.0,1609.0,371.0,1613.0
358,02915,16381.0,14933.0,360.0,336.0,341.0
359,02916,8700.0,7883.0,486.0,118.0,191.0
360,02917,14051.0,13095.0,255.0,334.0,509.0
361,02919,28910.0,25355.0,630.0,1524.0,1592.0
362,02920,38679.0,31247.0,2151.0,1490.0,5336.0
363,02921,12207.0,11436.0,90.0,385.0,315.0
364,03031,11283.0,10557.0,40.0,248.0,543.0
365,03032,5027.0,4836.0,15.0,21.0,71.0
366,03033,5023.0,4875.0,3.0,42.0,77.0
367,03034,3961.0,3852.0,0.0,74.0,58.0
368,03036,4789.0,4636.0,28.0,9.0,110.0
369,03037,4248.0,4235.0,6.0,7.0,48.0
370,03038,33417.0,31685.0,630.0,603.0,784.0
371,03042,6460.0,6338.0,0.0,0.0,13.0
372,03043,1547.0,1501.0,9.0,10.0,30.0
373,03044,4290.0,4143.0,40.0,40.0,125.0
374,03045,13742.0,13311.0,221.0,25.0,350.0
375,03046,2774.0,2613.0,6.0,33.0,17.0
376,03047,1496.0,1406.0,1.0,26.0,22.0
377,03048,3513.0,3397.0,0.0,16.0,13.0
378,03049,7700.0,7518.0,20.0,83.0,223.0
379,03051,24541.0,23233.0,311.0,733.0,907.0
380,03052,8299.0,8106.0,45.0,52.0,259.0
381,03053,24013.0,23163.0,152.0,390.0,661.0
382,03054,25538.0,24438.0,70.0,451.0,724.0
383,03055,15067.0,14035.0,132.0,343.0,395.0
384,03057,2534.0,2503.0,0.0,15.0,31.0
385,03060,28959.0,24229.0,1062.0,1436.0,4407.0
386,03062,27338.0,23115.0,338.0,3135.0,1207.0
387,03063,15936.0,14044.0,117.0,1046.0,1109.0
388,03064,14533.0,12778.0,377.0,361.0,1937.0
389,03070,5291.0,5094.0,25.0,11.0,22.0
390,03071,5112.0,4993.0,0.0,0.0,69.0
391,03076,12960.0,12421.0,81.0,48.0,147.0
392,03077,10218.0,9900.0,74.0,102.0,297.0
393,03079,28820.0,26894.0,244.0,791.0,1640.0
394,03082,1515.0,1456.0,4.0,16.0,17.0
395,03084,1605.0,1581.0,0.0,5.0,54.0
396,03086,3812.0,3719.0,17.0,25.0,29.0
397,03087,13777.0,12952.0,36.0,589.0,81.0
398,03101,2940.0,2373.0,231.0,86.0,391.0
399,03102,31806.0,28396.0,1179.0,975.0,1669.0
400,03103,36432.0,29980.0,2351.0,1677.0,4101.0
401,03104,33145.0,29189.0,1452.0,1603.0,2363.0
402,03106,13470.0,12950.0,83.0,255.0,495.0
403,03109,9711.0,8844.0,38.0,519.0,324.0
404,03110,21339.0,20168.0,588.0,431.0,338.0
405,03215,240.0,240.0,0.0,0.0,1.0
406,03216,2138.0,2057.0,7.0,9.0,31.0
407,03217,1796.0,1776.0,0.0,3.0,8.0
408,03218,893.0,893.0,0.0,0.0,0.0
409,03220,7337.0,6754.0,288.0,107.0,342.0
410,03221,2014.0,1939.0,3.0,35.0,14.0
411,03222,5684.0,5519.0,29.0,57.0,48.0
412,03223,3384.0,3255.0,10.0,30.0,0.0
413,03224,2290.0,2283.0,3.0,4.0,57.0
414,03225,3700.0,3559.0,0.0,0.0,26.0
415,03226,994.0,970.0,0.0,16.0,0.0
416,03227,1039.0,1021.0,10.0,0.0,8.0
417,03229,5594.0,5465.0,16.0,43.0,23.0
418,03230,1371.0,1351.0,3.0,0.0,0.0
419,03231,313.0,293.0,0.0,0.0,0.0
420,03233,96.0,96.0,0.0,0.0,8.0
421,03234,4596.0,4541.0,0.0,0.0,11.0
422,03235,8596.0,8179.0,135.0,162.0,146.0
423,03237,2155.0,2123.0,0.0,18.0,9.0
424,03238,89.0,89.0,0.0,0.0,0.0
425,03240,1318.0,1276.0,0.0,5.0,12.0
426,03241,838.0,825.0,3.0,8.0,6.0
427,03242,4815.0,4711.0,66.0,7.0,100.0
428,03243,1200.0,1187.0,0.0,0.0,0.0
429,03244,7988.0,7740.0,8.0,37.0,45.0
430,03245,1674.0,1630.0,19.0,0.0,19.0
431,03246,16001.0,15409.0,11.0,225.0,111.0
432,03249,7136.0,6963.0,44.0,90.0,71.0
433,03251,1264.0,1217.0,0.0,42.0,24.0
434,03253,6284.0,6167.0,25.0,85.0,36.0
435,03254,4065.0,3955.0,1.0,0.0,64.0
436,03255,1968.0,1922.0,0.0,0.0,28.0
437,03256,2288.0,2172.0,7.0,43.0,11.0
438,03257,4584.0,4419.0,58.0,25.0,54.0
439,03258,2519.0,2458.0,0.0,0.0,15.0
440,03259,303.0,303.0,0.0,0.0,0.0
441,03260,805.0,734.0,0.0,31.0,0.0
442,03261,4253.0,4077.0,23.0,61.0,79.0
443,03262,1111.0,1089.0,0.0,9.0,0.0
444,03263,4101.0,3852.0,73.0,124.0,47.0
445,03264,7469.0,6917.0,39.0,142.0,276.0
446,03266,2234.0,2151.0,5.0,26.0,11.0
447,03268,1295.0,1224.0,10.0,0.0,12.0
448,03269,2966.0,2966.0,0.0,0.0,101.0
449,03273,279.0,257.0,1.0,5.0,0.0
450,03275,11447.0,11148.0,18.0,49.0,242.0
451,03276,8394.0,7989.0,22.0,234.0,162.0
452,03278,2991.0,2953.0,0.0,0.0,49.0
453,03279,650.0,644.0,0.0,3.0,2.0
454,03280,1074.0,1047.0,0.0,0.0,27.0
455,03281,8828.0,8612.0,16.0,0.0,174.0
456,03282,900.0,860.0,9.0,8.0,11.0
457,03284,1140.0,1121.0,0.0,11.0,0.0
458,03285,2473.0,2401.0,24.0,4.0,31.0
459,03287,1286.0,1222.0,0.0,22.0,7.0
460,03290,4747.0,4617.0,54.0,0.0,22.0
461,03291,34.0,34.0,0.0,0.0,0.0
462,03293,87.0,87.0,0.0,0.0,0.0
463,03301,32665.0,30115.0,708.0,1105.0,639.0
464,03303,15665.0,14863.0,417.0,47.0,373.0
465,03304,7573.0,7401.0,0.0,72.0,53.0
466,03307,5321.0,5145.0,8.0,0.0,14.0
467,03431,25563.0,24530.0,191.0,412.0,449.0
468,03440,2639.0,2572.0,19.0,0.0,19.0
469,03441,584.0,584.0,0.0,0.0,24.0
470,03442,1497.0,1427.0,3.0,0.0,21.0
471,03443,918.0,848.0,0.0,0.0,57.0
472,03444,1674.0,1642.0,0.0,5.0,12.0
473,03445,697.0,697.0,0.0,0.0,15.0
474,03446,6131.0,5852.0,0.0,163.0,190.0
475,03447,2567.0,2410.0,14.0,20.0,0.0
476,03448,662.0,634.0,0.0,15.0,12.0
477,03449,1791.0,1748.0,7.0,14.0,29.0
478,03450,860.0,827.0,12.0,0.0,21.0
479,03451,4018.0,3868.0,37.0,9.0,55.0
480,03452,5440.0,5362.0,0.0,13.0,21.0
481,03455,1922.0,1845.0,39.0,2.0,15.0
482,03456,782.0,775.0,3.0,0.0,0.0
483,03457,695.0,685.0,0.0,2.0,3.0
484,03458,6678.0,6383.0,31.0,180.0,17.0
485,03461,5950.0,5538.0,167.0,110.0,45.0
486,03462,1840.0,1795.0,0.0,21.0,40.0
487,03464,1053.0,1018.0,27.0,0.0,4.0
488,03465,2313.0,2239.0,0.0,29.0,17.0
489,03466,888.0,851.0,0.0,0.0,0.0
490,03467,1923.0,1869.0,4.0,31.0,16.0
491,03470,4660.0,4468.0,5.0,25.0,32.0
492,03561,5941.0,5712.0,43.0,47.0,176.0
493,03570,9836.0,9444.0,83.0,24.0,149.0
494,03574,2529.0,2392.0,0.0,0.0,11.0
495,03575,106.0,106.0,0.0,0.0,0.0
496,03576,3277.0,3179.0,9.0,0.0,22.0
497,03579,419.0,409.0,0.0,0.0,9.0
498,03580,1515.0,1466.0,10.0,0.0,12.0
499,03581,3179.0,3129.0,0.0,0.0,53.0
500,03582,2542.0,2484.0,7.0,0.0,11.0
501,03583,864.0,849.0,0.0,10.0,0.0
502,03584,3657.0,3547.0,40.0,0.0,1.0
503,03585,2593.0,2507.0,0.0,9.0,57.0
504,03586,574.0,574.0,0.0,0.0,9.0
505,03588,1642.0,1566.0,4.0,0.0,51.0
506,03590,977.0,939.0,32.0,0.0,2.0
507,03592,1300.0,1277.0,5.0,0.0,45.0
508,03593,459.0,433.0,0.0,25.0,0.0
509,03595,838.0,812.0,0.0,26.0,20.0
510,03597,375.0,375.0,0.0,0.0,0.0
511,03598,3119.0,2989.0,33.0,10.0,61.0
